,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
467,TEXAS,CORPUS CHRISTI,2018,329256,1214,14,147,239,814,5993,1083,4465,445,34
469,TEXAS,DALLAS,2018,1338551,4825,83,447,1753,2542,22054,5543,11954,4557,104
471,TEXAS,DENTON,2018,136836,199,2,56,46,95,1710,208,1377,125,1
473,TEXAS,EL PASO,2018,688667,1247,6,202,180,859,5187,564,4249,374,6
475,TEXAS,FORT WORTH,2018,873069,2150,31,243,462,1414,12617,2267,9043,1307,73
477,TEXAS,FRISCO,2018,172804,92,1,26,11,54,1201,130,1028,43,1
479,TEXAS,GARLAND,2018,236243,333,7,52,119,155,3050,542,2100,408,10
481,TEXAS,GRAND PRAIRIE,2018,193249,244,2,45,63,134,2109,327,1551,231,7
483,TEXAS,HOUSTON,2018,2338235,12164,135,594,4403,7032,46190,7966,32557,5667,261
485,TEXAS,IRVING,2018,242062,242,6,32,98,106,2827,377,2134,316,9
487,TEXAS,KILLEEN,2018,145912,292,3,67,79,143,1703,465,1119,119,17
489,TEXAS,LAREDO,2018,260669,443,6,77,76,284,3170,351,2732,87,18
491,TEXAS,LEAGUE CITY,2018,105351,44,1,19,9,15,883,90,723,70,8
493,TEXAS,LUBBOCK,2018,256335,1266,6,125,225,910,5529,1090,3808,631,34
495,TEXAS,MCALLEN,2018,144162,57,0,20,14,23,1961,97,1841,23,2
497,TEXAS,MCKINNEY,2018,179934,153,0,28,46,79,985,117,791,77,7
499,TEXAS,MESQUITE,2018,144406,313,4,29,109,171,2646,404,1773,469,4
501,TEXAS,MIDLAND,2018,138954,179,3,34,25,117,1339,193,1002,144,11
503,TEXAS,ODESSA,2018,121194,536,3,48,50,435,1453,239,1028,186,5
505,TEXAS,RICHARDSON,2018,115824,67,2,5,25,35,1224,188,932,104,3
507,TEXAS,ROUND ROCK,2018,124617,79,1,20,13,45,1170,156,988,26,2
509,TEXAS,SAN ANTONIO,2018,1520712,4917,59,680,873,3305,30590,4642,22993,2955,88
511,TEXAS,WICHITA FALLS,2018,104706,212,4,58,67,83,1523,304,1120,99,0
513,UTAH,PROVO5,2018,117540,111,1,39,9,62,0,0,808,68,2
515,UTAH,SALT LAKE CITY,2018,194968,715,3,122,202,388,5949,817,4399,733,13
517,UTAH,WEST JORDAN,2018,115390,126,0,22,25,79,1477,162,1158,157,1
519,UTAH,WEST VALLEY,2018,137762,477,9,86,79,303,2430,409,1603,418,9
521,VIRGINIA,ALEXANDRIA,2018,158256,95,1,10,23,61,955,50,790,115,3
523,VIRGINIA,CHESAPEAKE,2018,240119,501,1,48,72,380,2353,330,1888,135,5
525,VIRGINIA,NEWPORT NEWS ,2018,181738,440,16,46,100,278,2559,412,1924,223,17
527,VIRGINIA,NORFOLK,2018,245190,548,18,61,142,327,3940,317,3253,370,9
529,VIRGINIA,RICHMOND6,2018,226236,559,26,27,194,312,4125,475,3073,577,23
531,VIRGINIA,ROANOKE,2018,100027,212,4,28,54,126,1999,253,1597,149,10
533,VIRGINIA,VIRGINIA BEACH,2018,454353,274,3,36,88,147,3584,297,3042,245,14
535,WASHINGTON,BELLEVUE,2018,143703,91,0,12,33,46,2211,244,1799,168,8
537,WASHINGTON,EVERETT,2018,110040,180,1,23,49,107,2390,340,1526,524,6
539,WASHINGTON,KENT,2018,128990,232,3,41,102,86,3057,409,2115,533,7
541,WASHINGTON,RENTON,2018,102470,159,2,18,65,74,2447,272,1730,445,3
543,WASHINGTON,SEATTLE,2018,721365,2341,13,147,776,1405,19062,4090,13080,1892,56
545,WASHINGTON,SPOKANE,2018,217066,791,4,179,105,503,7371,958,5616,797,19
547,WASHINGTON,TACOMA,2018,213504,950,7,84,257,602,5641,963,3674,1004,46
549,WASHINGTON,VANCOUVER,2018,176884,402,2,87,70,243,2876,393,1981,502,20
551,WISCONSIN,GREEN BAY,2018,105331,243,1,40,25,177,810,106,657,47,3
553,WISCONSIN,MADISON,2018,255850,516,3,55,93,365,2913,412,2260,241,5
