,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
153,CALIFORNIA,SIMI VALLEY,2018,126635,110,0,25,31,54,802,112,618,72,0
154,CALIFORNIA,STOCKTON,2017,309566,2120,19,69,578,1454,5765,1146,3548,1071,70
155,CALIFORNIA,STOCKTON,2018,309566,2045,15,93,559,1378,5624,1158,3435,1031,82
156,CALIFORNIA,SUNNYVALE,2017,154919,80,1,13,27,39,1251,247,865,139,8
157,CALIFORNIA,SUNNYVALE,2018,154919,116,0,23,37,56,1265,201,862,202,1
158,CALIFORNIA,TEMECULA,2017,115220,56,0,2,18,36,1436,204,1083,149,0
159,CALIFORNIA,TEMECULA,2018,115220,65,0,0,29,36,1334,213,973,148,0
160,CALIFORNIA,THOUSAND OAKS,2017,129240,73,0,22,11,40,837,137,626,74,6
161,CALIFORNIA,THOUSAND OAKS,2018,129240,51,2,13,13,23,707,104,545,58,2
162,CALIFORNIA,TORRANCE,2017,147482,146,0,17,57,72,1546,302,999,245,8
163,CALIFORNIA,TORRANCE,2018,147482,125,1,11,55,58,1353,238,978,137,7
164,CALIFORNIA,VALLEJO,2017,122174,541,10,46,187,298,2369,1256,603,510,20
165,CALIFORNIA,VALLEJO,2018,122174,474,4,42,170,258,2024,1069,490,465,20
166,CALIFORNIA,VENTURA,2017,110006,231,1,31,56,143,1822,297,1332,193,10
167,CALIFORNIA,VENTURA,2018,110006,223,1,31,48,143,1728,274,1302,152,26
168,CALIFORNIA,VICTORVILLE,2017,123284,417,8,29,128,252,1700,402,968,330,27
169,CALIFORNIA,VICTORVILLE,2018,123284,389,5,25,126,233,1404,334,720,350,14
170,CALIFORNIA,VISALIA,2017,132143,245,6,36,79,124,2129,470,1342,317,8
171,CALIFORNIA,VISALIA,2018,132143,215,1,45,68,101,2048,359,1432,257,7
172,CALIFORNIA,VISTA,2017,103004,189,4,22,54,109,746,159,460,127,7
173,CALIFORNIA,VISTA,2018,103004,155,1,21,41,92,735,138,445,152,0
174,CALIFORNIA,WEST COVINA,2017,108128,150,0,20,75,55,1266,259,811,196,6
175,CALIFORNIA,WEST COVINA,2018,108128,128,0,7,72,49,1262,198,885,179,3
176,COLORADO,AURORA,2017,368018,1073,17,149,350,557,5380,811,3608,961,31
177,COLORADO,AURORA,2018,368018,1275,9,183,293,790,5504,828,3572,1104,30
178,COLORADO,CENTENNIAL,2017,111416,66,3,13,9,41,916,151,680,85,6
179,COLORADO,CENTENNIAL,2018,111416,97,1,21,8,67,944,119,740,85,5
180,COLORADO,COLORADO SPRINGS,2017,472958,1274,16,264,231,763,7185,1149,5097,939,61
181,COLORADO,COLORADO SPRINGS,2018,472958,1272,10,233,223,806,7147,1077,4942,1128,72
182,COLORADO,DENVER,2017,706616,2318,29,341,557,1391,12255,2081,7786,2388,66
183,COLORADO,DENVER,2018,706616,2494,36,347,570,1541,12947,2060,8302,2585,61
184,COLORADO,FORT COLLINS,2017,167633,188,1,23,17,147,2149,241,1800,108,6
185,COLORADO,FORT COLLINS,2018,167633,173,1,11,17,144,1790,181,1532,77,4
186,COLORADO,GREELEY,2017,105906,192,1,28,23,140,1260,194,926,140,13
187,COLORADO,GREELEY,2018,105906,210,1,44,30,135,1308,182,986,140,11
188,COLORADO,PUEBLO,2017,110872,555,3,108,97,347,3308,614,2156,538,24
189,COLORADO,PUEBLO,2018,110872,558,3,88,109,358,3168,639,1966,563,31
190,COLORADO,THORNTON3,2017,139825,219,2,71,33,113,0,0,1405,382,16
191,COLORADO,THORNTON4,2018,139825,173,1,59,42,71,2186,236,1597,353,13
192,COLORADO,WESTMINSTER,2017,115155,133,1,28,27,77,1765,203,1203,359,9
193,COLORADO,WESTMINSTER,2018,115155,169,13,28,38,90,1729,150,1271,308,15
194,CONNECTICUT,BRIDGEPORT,2017,146110,600,12,27,264,297,1662,287,1022,353,8
195,CONNECTICUT,BRIDGEPORT,2018,146110,439,5,29,131,274,1411,239,876,296,9
196,CONNECTICUT,HARTFORD,2017,122891,611,14,27,190,380,2296,341,1638,317,38
197,CONNECTICUT,HARTFORD,2018,122891,677,9,24,179,465,2311,332,1572,407,38
198,CONNECTICUT,STAMFORD,2017,130189,136,0,13,42,81,965,106,752,107,3
199,CONNECTICUT,STAMFORD,2018,130189,110,2,8,26,74,1026,110,805,111,3
200,CONNECTICUT,WATERBURY,2017,107924,249,3,26,124,96,1883,284,1203,396,6
201,CONNECTICUT,WATERBURY,2018,107924,247,3,30,96,118,2075,277,1395,403,5
202,FLORIDA,CAPE CORAL,2017,184346,118,3,8,12,95,1488,290,1126,72,1
203,FLORIDA,CAPE CORAL,2018,184346,123,0,6,28,89,1369,202,1084,83,1
204,FLORIDA,CLEARWATER,2017,115295,293,2,42,71,178,1848,249,1476,123,11
205,FLORIDA,CLEARWATER,2018,115295,267,2,53,59,153,1680,185,1394,101,4
206,FLORIDA,CORAL SPRINGS,2017,131558,125,0,27,35,63,1287,112,1064,111,2
207,FLORIDA,CORAL SPRINGS,2018,131558,82,0,14,29,39,1035,104,855,76,1
208,FLORIDA,DAVIE,2017,103555,124,1,13,44,66,1347,145,1094,108,9
209,FLORIDA,DAVIE,2018,103555,137,0,16,35,86,1374,107,1134,133,1
210,FLORIDA,FORT LAUDERDALE,2017,180972,523,4,37,214,268,5246,821,3978,447,8
211,FLORIDA,FORT LAUDERDALE,2018,180972,505,11,33,162,299,4428,625,3368,435,5
212,FLORIDA,GAINESVILLE,2017,132777,472,2,81,94,295,2225,229,1854,142,3
213,FLORIDA,GAINESVILLE,2018,132777,501,4,74,113,310,2532,272,2087,173,5
214,FLORIDA,HIALEAH,2017,238260,232,2,15,77,138,2673,283,2042,348,16
215,FLORIDA,HIALEAH,2018,238260,281,1,18,84,178,2686,213,2094,379,1
