,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson,Total
106,FLORIDA,ORLANDO7,2015,268438,1277.0,9.0,94.0,270.0,904.0,7874.0,1588.0,5753.0,533.0,25.0,18327.0
107,FLORIDA,PALM BAY,2015,106469,251.0,5.0,27.0,31.0,188.0,949.0,222.0,667.0,60.0,7.0,2407.0
108,FLORIDA,PEMBROKE PINES,2015,167266,166.0,0.0,11.0,39.0,116.0,1831.0,291.0,1428.0,112.0,5.0,3999.0
109,FLORIDA,POMPANO BEACH,2015,107656,484.0,2.0,39.0,121.0,322.0,2176.0,356.0,1616.0,204.0,7.0,5327.0
110,FLORIDA,PORT ST. LUCIE,2015,176364,124.0,2.0,4.0,13.0,105.0,1164.0,204.0,924.0,36.0,1.0,2577.0
111,FLORIDA,ST. PETERSBURG,2015,255821,979.0,5.0,67.0,266.0,641.0,7156.0,1127.0,5263.0,766.0,23.0,16293.0
112,FLORIDA,TALLAHASSEE,2015,189709,990.0,8.0,119.0,166.0,697.0,4443.0,960.0,3110.0,373.0,3.0,10869.0
113,FLORIDA,TAMPA,2015,364383,1127.0,21.0,32.0,296.0,778.0,4075.0,934.0,2863.0,278.0,35.0,10439.0
114,FLORIDA,WEST PALM BEACH,2015,104919,416.0,6.0,25.0,123.0,262.0,2451.0,355.0,1861.0,235.0,6.0,5740.0
115,GEORGIA,ATHENS-CLARKE COUNTY,2015,120858,257.0,1.0,25.0,62.0,169.0,1917.0,371.0,1444.0,102.0,16.0,4364.0
116,GEORGIA,ATLANTA,2015,464710,2529.0,45.0,83.0,905.0,1496.0,12145.0,2258.0,7703.0,2184.0,27.0,29375.0
117,GEORGIA,SANDY SPRINGS,2015,103898,73.0,2.0,6.0,41.0,24.0,1239.0,272.0,888.0,79.0,2.0,2626.0
118,GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2015,240178,499.0,20.0,30.0,216.0,233.0,4264.0,874.0,2895.0,495.0,9.0,9535.0
119,HAWAII,HONOLULU,2015,999307,1158.0,12.0,147.0,438.0,561.0,13836.0,2072.0,10144.0,1620.0,126.0,30114.0
120,IDAHO,BOISE,2015,218844,312.0,0.0,68.0,17.0,227.0,2281.0,308.0,1833.0,140.0,23.0,5209.0
121,ILLINOIS,AURORA,2015,201034,308.0,5.0,33.0,45.0,225.0,1338.0,208.0,1066.0,64.0,6.0,3298.0
122,ILLINOIS,CHICAGO,2015,2728695,11081.0,213.0,730.0,4048.0,6090.0,36779.0,5698.0,26310.0,4771.0,247.0,95967.0
123,ILLINOIS,ELGIN,2015,111832,97.0,3.0,21.0,20.0,53.0,788.0,114.0,645.0,29.0,2.0,1772.0
124,ILLINOIS,JOLIET,2015,147991,198.0,3.0,19.0,51.0,125.0,1594.0,328.0,1219.0,47.0,18.0,3602.0
125,ILLINOIS,NAPERVILLE,2015,147101,32.0,0.0,3.0,10.0,19.0,759.0,64.0,680.0,15.0,1.0,1583.0
126,ILLINOIS,PEORIA,2015,116066,347.0,6.0,27.0,124.0,190.0,2016.0,471.0,1479.0,66.0,17.0,4743.0
127,ILLINOIS,ROCKFORD,2015,148178,1168.0,11.0,82.0,198.0,877.0,2714.0,668.0,1839.0,207.0,37.0,7801.0
128,INDIANA,EVANSVILLE5,2015,120414,347.0,2.0,35.0,81.0,229.0,2722.0,471.0,2100.0,151.0,23.0,6161.0
129,INDIANA,FORT WAYNE,2015,259712,456.0,11.0,42.0,209.0,194.0,3499.0,628.0,2719.0,152.0,30.0,7940.0
130,INDIANA,SOUTH BEND,2015,101240,325.0,9.0,32.0,166.0,118.0,2312.0,523.0,1610.0,179.0,14.0,5288.0
131,KANSAS,OLATHE,2015,134830,74.0,2.0,17.0,13.0,42.0,996.0,88.0,805.0,103.0,4.0,2144.0
132,KANSAS,OVERLAND PARK,2015,187240,192.0,2.0,87.0,20.0,83.0,1708.0,206.0,1230.0,272.0,10.0,3810.0
133,KANSAS,TOPEKA,2015,127096,325.0,3.0,40.0,99.0,183.0,3183.0,580.0,2324.0,279.0,3.0,7019.0
134,KENTUCKY,LEXINGTON,2015,314077,502.0,9.0,90.0,230.0,173.0,5797.0,1215.0,4062.0,520.0,24.0,12622.0
135,KENTUCKY,LOUISVILLE METRO6,2015,680550,2066.0,38.0,110.0,705.0,1213.0,13321.0,2934.0,9023.0,1364.0,3.0,30777.0
136,LOUISIANA,BATON ROUGE,2015,228727,967.0,27.0,47.0,393.0,500.0,4692.0,1136.0,3313.0,243.0,65.0,11383.0
137,LOUISIANA,LAFAYETTE,2015,127273,329.0,6.0,11.0,72.0,240.0,3224.0,473.0,2532.0,219.0,17.0,7123.0
138,LOUISIANA,NEW ORLEANS,2015,393447,1652.0,92.0,152.0,622.0,786.0,7304.0,1362.0,4773.0,1169.0,15.0,17927.0
139,LOUISIANA,SHREVEPORT,2015,197592,793.0,10.0,74.0,218.0,491.0,4960.0,1052.0,3637.0,271.0,26.0,11532.0
140,MARYLAND,BALTIMORE,2015,621252,4224.0,144.0,140.0,1826.0,2114.0,14194.0,3577.0,8205.0,2412.0,132.0,36968.0
141,MASSACHUSETTS,CAMBRIDGE,2015,110953,145.0,1.0,9.0,40.0,95.0,1231.0,191.0,989.0,51.0,2.0,2754.0
142,MASSACHUSETTS,LOWELL,2015,110819,226.0,0.0,10.0,65.0,151.0,1101.0,223.0,790.0,88.0,7.0,2661.0
143,MASSACHUSETTS,SPRINGFIELD,2015,154090,821.0,13.0,45.0,248.0,515.0,2371.0,576.0,1517.0,278.0,18.0,6402.0
144,MASSACHUSETTS,WORCESTER,2015,183377,777.0,4.0,10.0,189.0,574.0,2324.0,491.0,1648.0,185.0,2.0,6204.0
145,MICHIGAN,ANN ARBOR,2015,118730,90.0,0.0,26.0,14.0,50.0,1068.0,100.0,932.0,36.0,3.0,2319.0
